participant,gender,audio,video,response,time of reaction,knowledge about McGurk,number in the routine,comment,voiced,doubled
21,f,g,d,g,1.40152033285,no,3,,voiced,single
22,f,p,p,p,4.6005818581,yes,9,,unvoiced,single
22,f,p,k,t,6.48113766505,yes,5,"в комментарии стоит ""?""",unvoiced,single
22,f,p,t,p,3.01736943415,yes,4,,unvoiced,single
22,f,k,p,k,3.78267143399,yes,7,,unvoiced,single
22,f,k,k,k,2.39140126467,yes,6,,unvoiced,single
22,f,k,t,k,1.93477843021,yes,2,,unvoiced,single
22,f,t,p,t,3.8144417624,yes,3,,unvoiced,single
22,f,t,k,t,9.99718075016,yes,1,,unvoiced,single
22,f,t,t,t,1.76955210179,yes,8,,unvoiced,single
23,f,p,p,p,11.4969474844,no,8,,unvoiced,single
23,f,p,k,t,18.9775425734,no,9,"зачеркнуто k, поверх написано t",unvoiced,single
23,f,p,t,t,17.8429295752,no,3,были сомнения,unvoiced,single
23,f,k,p,k,7.26755348084,no,1,,unvoiced,single
23,f,k,k,k,4.31671983571,no,6,,unvoiced,single
23,f,k,t,k,4.83171275843,no,5,,unvoiced,single
23,f,t,p,t,6.06477509916,no,2,,unvoiced,single
23,f,t,k,t,5.33266541574,no,4,,unvoiced,single
23,f,t,t,t,5.73271337518,no,7,,unvoiced,single
24,f,p,p,p,3.96883896174,yes,8,,unvoiced,single
24,f,p,k,p,3.5660184056,yes,7,,unvoiced,single
24,f,p,t,p,5.53167608907,yes,9,,unvoiced,single
24,f,k,p,k,3.86757550112,yes,2,,unvoiced,single
24,f,k,k,k,5.84303454479,yes,1,,unvoiced,single
24,f,k,t,k,2.11618313787,yes,6,,unvoiced,single
24,f,t,p,t,1.50284304292,yes,4,,unvoiced,single
24,f,t,k,t,2.81683693509,yes,5,,unvoiced,single
24,f,t,t,t,1.90263907536,yes,3,,unvoiced,single
25,m,p,p,-,14.2300116913,no,1,,unvoiced,single
25,m,p,k,-,10.8824140019,no,9,"в комментарии стоит ""?""",unvoiced,single
25,m,p,t,-,11.2465684276,no,4,,unvoiced,single
25,m,k,p,k,7.21376473189,no,3,,unvoiced,single
25,m,k,k,k,7.4484795272,no,2,,unvoiced,single
25,m,k,t,k,7.43332471803,no,7,,unvoiced,single
25,m,t,p,-,9.96686926574,no,5,,unvoiced,single
25,m,t,k,-,8.88148140546,no,8,,unvoiced,single
25,m,t,t,-,9.78271062265,no,6,,unvoiced,single
26,m,p,p,-,41.6823093123,yes,9,,unvoiced,single
26,m,p,k,k,3.83073584147,yes,1,,unvoiced,single
26,m,p,t,-,3.4484706631,yes,5,,unvoiced,single
26,m,k,p,k,3.29863147653,yes,3,,unvoiced,single
26,m,k,k,k,7.32939269728,yes,7,,unvoiced,single
26,m,k,t,k,3.02591302546,yes,2,,unvoiced,single
26,m,t,p,t,2.56553647856,yes,6,,unvoiced,single
26,m,t,k,t,2.58577461488,yes,4,,unvoiced,single
26,m,t,t,t,2.52226008385,yes,8,,unvoiced,single
27,m,p,p,p,7.36526943592,yes,1,,unvoiced,single
27,m,p,k,k,7.31392764469,yes,4,,unvoiced,single
27,m,p,t,k,17.7121379366,yes,8,,unvoiced,single
27,m,k,p,p,4.53218460837,yes,5,,unvoiced,single
27,m,k,k,k,5.71654012779,yes,6,,unvoiced,single
27,m,k,t,k,4.95012731644,yes,7,,unvoiced,single
27,m,t,p,t,6.93941342062,yes,2,,unvoiced,single
27,m,t,k,t,5.38322996552,yes,3,,unvoiced,single
27,m,t,t,t,4.42515481848,yes,9,,unvoiced,single
28,f,p,p,t,6.51238314551,yes,4,,unvoiced,single
28,f,p,k,k,3.92644011276,yes,7,,unvoiced,single
28,f,p,t,-,27.8219935077,yes,5,,unvoiced,single
28,f,k,p,k,5.26752875466,yes,3,,unvoiced,single
28,f,k,k,k,6.71467773401,yes,2,,unvoiced,single
28,f,k,t,k,0.699568644981,yes,9,,unvoiced,single
28,f,t,p,t,0.834364056936,yes,8,,unvoiced,single
28,f,t,k,t,3.36883047083,yes,6,,unvoiced,single
28,f,t,t,t,5.86427619035,yes,1,,unvoiced,single
